2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange0_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange0_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange0_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange1_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange1_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange1_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange2_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange2_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange2_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : exchange3_drw has 0 polygons
